Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Trunk,1.38777878078145E-17,8.5737812821618E-09,-0.00740652207451296,0,0,0,4.35129728273739,0.00835966545666836,-3.47039283298407E-19,3.43313041434009E-20,0.00753671673905145,-2.65972678156287E-12,0.0116967149678238,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/Trunk.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/Trunk.STL,,qugan260715-1,floating_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_hip_joint,-0.00532401828110732,0.016432823313553,-0.000137910407853326,0,0,0,0.682634208082644,0.000411258787886944,-3.85301823459196E-05,-2.26757896160964E-05,0.000604914801567141,2.40178641711307E-06,0.000412764445760128,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FR_hip_joint.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FR_hip_joint.STL,,jianguanjie260715-4,FR_hip_csys,FR_hip_axis,FR_hip_joint,revolute,0.216,-0.06,0,0,0,0,Trunk,0,-1,0,0,0,0,0,,,,,,,,
FR_thigh_joint,-0.0166323441022026,0.0262992714821007,-0.00457223701727334,0,0,0,0.872150153156901,0.000623997084767276,1.024566037419E-05,-0.000259741027875287,0.00146418737886834,6.58638014586912E-06,0.00104021658380157,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FR_thigh_joint.STL,1,1,1,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FR_thigh_joint.STL,,Mirrordatui260715-4,FR_thigh_csys,FR_thigh_axis,FR_thigh_joint,revolute,0,-0.08725,0,0,0,0,FR_hip_joint,0,-1,0,0,0,0,0,,,,,,,,
FR_calf_joint,0.11066671417923,0.000261048395910457,0.0191703809225944,0,0,0,0.234042505684366,6.0426970880189E-05,3.51389344927064E-07,-9.79025974146265E-05,0.000996435189109907,4.13662250224613E-08,0.000960294329624096,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FR_calf_joint.STL,1,1,1,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FR_calf_joint.STL,,Mirrorxiaotui260715-3,FR_calf_csys,FR_calf_axis,FR_calf_joint,revolute,-0.1557,0,-0.090323,0,0,0,FR_thigh_joint,0,-1,0,0,0,0,0,,,,,,,,
FL_hip_joint,-0.00532401828110737,-0.0164328233135531,0.00013791040785331,0,0,0,0.682634208082644,0.000411258787886944,3.85301823459194E-05,2.26757896160967E-05,0.000604914801567141,2.4017864171131E-06,0.000412764445760128,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FL_hip_joint.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FL_hip_joint.STL,,jianguanjie260715-3,FL_hip_csys,FL_hip_axis,FL_hip_joint,revolute,0.216,0.06,0,0,0,0,Trunk,0,1,0,0,0,0,0,,,,,,,,
FL_thigh_joint,-0.0166323661813786,-0.0262992533325682,-0.00457220274595862,0,0,0,0.872150809470834,0.000623999555954995,-1.02454718618294E-05,-0.000259740988701668,0.00146418844969497,-6.58657491999757E-06,0.00104021522725969,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FL_thigh_joint.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FL_thigh_joint.STL,,datui260715-3,FL_thigh_csys,FL_thigh_axis,FL_thigh_joint,revolute,0,0.08725,0,0,0,0,FL_hip_joint,0,1,0,0,0,0,0,,,,,,,,
FL_calf_joint,0.110666489734434,-0.000261064891474316,0.019170320338883,0,0,0,0.23404332064939,6.04274233573339E-05,-3.51918058765144E-07,-9.79034593990447E-05,0.000996438811866361,-4.14577881535261E-08,0.000960297794186572,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FL_calf_joint.STL,0.780392156862745,0.780392156862745,0.780392156862745,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/FL_calf_joint.STL,,xiaotui260715-2,FL_calf_csys,FL_calf_axis,FL_calf_joint,revolute,-0.155697793236241,0,-0.0903227390049967,0,0,0,FL_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
RR_hip_joint,0.00532401828110859,0.0164328233135523,0.000137910407853591,0,0,0,0.682634208082661,0.000411258787886957,3.85301823459269E-05,-2.26757896161012E-05,0.000604914801567151,-2.40178641710737E-06,0.000412764445760143,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RR_hip_joint.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RR_hip_joint.STL,,jianguanjie260715-2,RR_hip_csys,RR_hip_axis,RR_hip_joint,revolute,-0.216,-0.06,0,0,0,0,Trunk,0,-1,0,0,0,0,0,,,,,,,,
RR_thigh_joint,-0.0166323448325756,0.0262992714895327,-0.00457225934791996,0,0,0,0.872150152908066,0.000623997001318092,1.02456614317439E-05,-0.000259740961038513,0.00146418737883182,6.58637850057426E-06,0.00104021666721175,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RR_thigh_joint.STL,1,1,1,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RR_thigh_joint.STL,,Mirrordatui260715-2,RR_thigh_csys,RR_thigh_axis,RR_thigh_joint,revolute,0,-0.08725,0,0,0,0,RR_hip_joint,0,-1,0,0,0,0,0,,,,,,,,
RR_calf_joint,0.110666699676146,0.000261048395912789,0.0191704059225941,0,0,0,0.234042505684366,6.04269708802058E-05,3.51389344927138E-07,-9.79025974146227E-05,0.000996435189109927,4.13662250225364E-08,0.000960294329624099,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RR_calf_joint.STL,1,1,1,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RR_calf_joint.STL,,Mirrorxiaotui260715-2,RR_calf_csys,RR_calf_axis,RR_calf_joint,revolute,-0.1557,0,-0.090323,0,0,0,RR_thigh_joint,0,-1,0,0,0,0,0,,,,,,,,
RL_hip_joint,0.00532401828110871,-0.0164328233135523,-0.000137910407853593,0,0,0,0.682634208082662,0.000411258787886958,-3.85301823459268E-05,2.26757896161008E-05,0.000604914801567152,-2.40178641710737E-06,0.000412764445760144,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RL_hip_joint.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RL_hip_joint.STL,,jianguanjie260715-1,RL_hip_csys,RL_hip_axis,RL_hip_joint,revolute,-0.216,0.06,0,0,0,0,Trunk,0,1,0,0,0,0,0,,,,,,,,
RL_thigh_joint,-0.0166323669155268,-0.0262992533325675,-0.00457220007533216,0,0,0,0.872150809470864,0.000623999472542905,-1.02454729194276E-05,-0.000259740921870824,0.00146418844969505,-6.5865732749061E-06,0.00104021531067186,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RL_thigh_joint.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RL_thigh_joint.STL,,datui260715-1,RL_thigh_csys,RL_thigh_axis,RL_thigh_joint,revolute,0,0.08725,0,0,0,0,RL_hip_joint,0,1,0,0,0,0,0,,,,,,,,
RL_calf_joint,0.11066647523135,-0.000261064891476537,0.0191703453388829,0,0,0,0.23404332064939,6.04274233573363E-05,-3.5191805876502E-07,-9.79034593990478E-05,0.000996438811866367,-4.14577881534998E-08,0.000960297794186575,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RL_calf_joint.STL,0.780392156862745,0.780392156862745,0.780392156862745,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/RL_calf_joint.STL,,xiaotui260715-1,RL_calf_csys,RL_calf_axis,RL_calf_joint,revolute,-0.1557,0,-0.090323,0,0,0,RL_thigh_joint,0,1,0,0,0,0,0,,,,,,,,
imu_Link,-3.46944695195361E-18,1.38777878078145E-17,0.000999999999999997,0,0,0,0.0012,4.04E-08,-2.4230591536767E-23,-1.08420217248549E-25,9.04E-08,-2.20581496680804E-25,1.3E-07,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/imu_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDFzhuangpei.SLDASM/meshes/imu_Link.STL,,imu传感器-6,imu_csys,,imu_Link,fixed,0,0,0.0255,0,0,0,Trunk,0,0,0,,,,,,,,,,,,
